La adorable confusión de un bebé al ver por primera vez una pareja de gemelas http://www.elcorreo.com vía @elcorreo_com,244,419,1310
Esa habilidad de ponerte enfermo en el peor momento.,383,534,30200
Necesito unas vacaciones. De 6 meses dos veces al año.,1950000,232,14500
Los que matan niños no son más que una pandilla de cobardes. #Pa000istan,38900,19100,65900
Buen partido 1parte del Athletic la 2 va a resultar un poco mas dura.desde Brasilia  pic.twitter.com/WFUlR0hUno,5066,976,826
Willy Toledo tiene menos futuro en el cine que Josu Urrutia en el chester de Risto Mejide.,702,1071,22000
Me ha gustado un vídeo de @YouTube (http://youtu.be/8000iPdXM000OD000?a  - Leo Harlem 'El Gimnasio' El club de la comedia).,2543,1356,1951
Mañana Miércoles 17 Dic: Cubierto con una temperatura máxima de 14 C y una mínima de 11 C. El viento alcanzará los 25 000m/h de dirección Noro,540,1939,858
Muchos creen que el talento es cuestión de suerte pero pocos saben que la suerte es cuestión de talento.,578000,6377,150
El tema es tomar alcohol en Navidad Jesucristo no transformó el agua en vino para que bebieras refresco en su cumpleaños,383000,563,173
El euríbor cerrará 2014 en un nuevo mínimo el 0.328% y abaratará las hipotecas ,642000,42,442000
Mientras que los medios sigan mintiendo las paredes seguiran hablando,230000,0,5889
Me siento muy afortunada muy querida y muy admirada pero si os admiráis más aún a vosotros mismos conseguiréis lo que queráis en la vida,519000,420,4677
Un libro sobre mitología vasca para niños en los primeros puestos de ventas en Amazon,148000,15900,803000
Brindo por quienes me hacen reir una noche entera,203,283,4904
Una comida no te pondrá en forma. Así como tampoco una comida te hará engordar,270000,1762,735000
Qué lujo volver conduciendo con la carretera desierta y escuchando un disco dedicado de Manolo García...,241000,1003,302000
No os hacéis una idea de las sonrisas que me regaláis con vuestro ánimo en estos momentos. No tengo agradecimiento suficiente que daros,302,84,5194
¿Por qué las personas quieren un romance como el de Romeo y Julieta si fue un romance de tres días y seis muertos? ¡Hay que leer!,216000000,82,341000
Es incorrecto decir «en base a». Se puede sustituir por: «basándose en»; «con base en»; «sobre la base de».,12000000,62,284000
Gracias a todos los q habeis creído en mi y habeis gastado un min de su tiempo escribiendome un mensaje de apoyo! deseo lo mejor al equipo,6633,40,49
A veces creemos que la vida nos niega algo cuando en realidad sólo nos está diciendo: espera.,444000,0,1979
Con ojos podridos filman el mundo luego lo muestran en una televisión podrida y lo que vemos nos pudre el corazón.,104000000,31,679000
¿Sabes lo mejor de los corazones rotos? Que pueden romperse de verdad solo una vez. Lo demás son rasguños.,146000000,80,229000
Un aplauso por los que somos felices subiéndole el ánimo a los demás aunque estemos peor que ellos.,256000000,506,195000
Es la voluntad de ir a través de todo el dolor la voluntad de entrenar todos los días la voluntad de olvidar el dolor lo q hace un campeón,229,197,1787
Buenos días! Por fin es sábado! No me lo puedo creer! Se me ha hecho la semana larguísima!,137,317,694
¿Dentro del parlamento se harán un amigo invisible o algo?,487,458,198000
Pasar por ese lugar y acordarte de ese día,393000,614,280
Cuando alguien te hace una mejor persona sabes que esa persona debe estar en tu vida,394,667,1085
Big data: cómo las grandes empresas lo utilizan en su estrategia de producto  http://puromar000eting.com/s/23633,1170,1198,689
Jóvenes que no pueden seguir estudiando por becas denegadas padres pasándolas canutas para pagar las matrículas,186000,119,92000
Hola a todos! Os dejo mi último post! 'Seguimos escalando en la tabla' http://bit.ly/1sYJB02   Abrazos! ,429000000,232,1688
Mi primer reto profesional conseguido. Gracias infinitas a Lledó y Arrieta por ayudarme a perfeccionarlo al milímetro ,769,217,512
Se echa de menos no estar esperandote en la esquina del metro un cuarto de hora @Aitor_S,239,65,6251
Hay cosas que no entendere en la vida por mucho que me esfuerce en comprenderlo,146,126,1608
Tras perder con el Arsenal los jugadores del Borussia Dortmund agradecieron a los hinchas su viaje a Londres. CLASE. ,161000,5072,6986
Mireia Belmonte oro mundial y primera en la historia en bajar de 2 minutos en 200 mariposa ,791000,333,682000
Queremos más diversidad cultural pero al mismo tiempo tenemos diversidad de expresión (Flemming Rose del Jyllands Posten),467000,481,252000
Lo mejor de la vida es cuando encontramos personas que saben hacer de pequeños instantes grandes momentos,268000,0,153
Sabias que lo mejor de la vida consiste en tener siempre algo que hacer alguien a quien querer y un sueño por el cual luchar.,179000000,176,232000
Hoy se terminan los 7 años de mala suerte en el amor de la última cadena de hotmail que no reenvié... Fiuufff ¡De vuelta al amor amigos!,917000,211000,5343
En mi casa no hay nada prohibido pero no vayas a enamorarte,157000,0,155
Para la persona equivocada nunca serás de valor... pero para la persona correcta lo serás todo,283,190,4524
Nunca he tenido tantas ganas de volver al máster deseando empezar las clases con todo lo que eso conlleva!!!!!,65,239,6260
Los videojuegos molan porque te dejan experimentar estupendas fantasías. Por ejemplo en Los Sims tienes trabajo y una casa.,126000,1936,3859
La palabra cáncer es un término muy amplio que abarca más de 200 tipos de enfermedades,303000,310,9628
Sólo porque alguien no te ame como tú quieres no significa que no te ama con todo su ser. - Gabriel García Márquez ,968000,119,128000
Al mando de una gran novela http://ow.ly/H6HcV  La narrativa en videojuegos evoluciona a pasos agigantados ,359000,946,222000
